id,slug,startup_name,about,description,website,category,subcategory,funding_stage,funding_amount,funding_amount_usd,valuation_display,valuation_usd,total_raised_display,last_round_date,investors,headquarters,city,country,region,founded_year,status,status_note,source,source_urls,date_added,last_updated,last_verified,verification_status,tags,notes
076,viz-ai,Viz.ai,AI care-coordination and disease-detection platform for hospitals,"Viz.ai detects strokes and other acute conditions from medical imaging and coordinates care teams in real time across 1,600+ hospitals. Its last priced round was a $100M Series D at a $1.2B valuation in April 2022; total funding is ~$252M across seven rounds.",https://www.viz.ai,HealthTech,Care Coordination,Series D,$100M,100000000,$1.2B (Apr 2022),1200000000,~$252M across 7 rounds,2022-04-07,Tiger Global; Insight Partners; Scale Venture Partners; Susa Ventures,"San Francisco, USA",San Francisco,USA,North America,2013,active,,"Viz.ai (official), EquityBee, Tracxn",https://www.viz.ai/company,2026-01-30,2026-09-07,2026-09-07,partial,stroke; imaging; care-coordination,
077,1x-technologies,1X Technologies,"Humanoid robots for home and industry (EVE, NEO)","1X Technologies, an OpenAI-backed Norwegian-American robotics company, builds androids for home and industrial use and launched the NEO home humanoid. It raised roughly $650M across rounds in late 2025 and March 2026 at a valuation above $2.9B, including OpenAI-led financing.",https://www.1x.tech,Robotics,Humanoids,Series B,$650M (combined tranches),650000000,$2.9B+ (Mar 2026),2900000000,~$850M across 6 rounds,2026-03-15,OpenAI Startup Fund; EQT Ventures; Tiger Global; Sandwater,"Palo Alto, USA",Palo Alto,USA,North America,2014,active,,"Sacra, Nasdaq Private Market, 1X (official)",https://www.1x.tech/investors,2026-09-07,2026-09-07,2026-09-07,partial,neo; androids; home-robots,Round aggregates per Sacra; official tranche breakdown not fully public.
078,anduril,Anduril Industries,"AI defense technology: autonomous aircraft, drones, and command systems","Anduril builds AI-powered defense systems including autonomous aircraft, counter-drone systems, and the Lattice command platform. It closed a $5B Series H at a $61B valuation in May 2026, led by Thrive Capital and a16z — doubling in a year — and was reported in July 2026 to be in talks for a round near $100B.",https://www.anduril.com,Robotics,Defense,Series H,$5B,5000000000,$61B post-money (May 2026),61000000000,$6.9B+ primary across 8 rounds,2026-05-13,Thrive Capital; a16z; Founders Fund; 8VC; Fidelity,"Costa Mesa, USA",Costa Mesa,USA,North America,2017,active,,"Anduril (official), CNBC, NYT, Reuters",https://www.anduril.com/article/anduril-announces-series-h,2026-01-30,2026-09-07,2026-09-07,verified,defense; lattice; autonomy,Jul 2026: Reuters reported talks valuing the company at ~$100B.
079,applied-intuition,Applied Intuition,Autonomous vehicle & defense simulation and ADAS tooling,"Applied Intuition provides simulation, perception testing, and ADAS tooling to automakers and defense programs. It closed a $600M Series F plus tender at a $15B valuation in June 2025, co-led by BlackRock and Kleiner Perkins — nearly double its prior $8B mark — with total funding around $1.2–1.5B.",https://www.appliedintuition.com,Robotics,Autonomous Vehicles,Series F,$600M,600000000,$15B (Jun 2025),15000000000,~$1.2B+ across 7 rounds,2025-06-17,BlackRock; Kleiner Perkins; Lux Capital; General Catalyst; a16z,"Mountain View, USA",Mountain View,USA,North America,2017,active,,"Applied Intuition (official), Tracxn, Forge",https://www.appliedintuition.com/news,2026-09-07,2026-09-07,2026-09-07,verified,av-simulation; defense; adas,
080,apptronik,Apptronik,Apollo humanoid robots for logistics and industry,"Apptronik, spun out of UT Austin, builds the Apollo humanoid robot targeting warehouse and manufacturing work, with partnerships including Mercedes-Benz and GXO. It announced a $520M Series A-X in February 2026 — with Google participation — at a reported $5B valuation, bringing total Series A financing to $935M+.",https://apptronik.com,Robotics,Humanoids,Series A,$520M,520000000,"~$5B (reported, Feb 2026)",5000000000,~$1B+ across 5 rounds,2026-02-11,Google; Mercedes-Benz; B Capital; Capital Factory; Terex,"Austin, USA",Austin,USA,North America,2016,active,,"Apptronik (official), CNBC, Bloomberg",https://apptronik.com/news,2026-09-07,2026-09-07,2026-09-07,verified,apollo; humanoid; logistics,
081,aurora-innovation,Aurora Innovation,Autonomous trucking (Aurora Driver); NASDAQ-listed,Aurora Innovation commercialized self-driving trucking with driverless commercial routes in Texas since 2025 and is listed on NASDAQ (AUR) since its 2021 SPAC merger. It is included here as a public-company reference for autonomous-vehicle tracking; its market cap fluctuates with AUR shares.,https://aurora.tech,Robotics,Autonomous Vehicles,IPO,N/A (public since Nov 2021),,Public market cap (NASDAQ: AUR),,$1B+ pre-IPO; public capital markets since 2021,,Uber; Toyota; Sequoia; T. Rowe Price; Cargo (SPAC),"Pittsburgh, USA",Pittsburgh,USA,North America,2017,public,Publicly traded on NASDAQ (AUR) since November 2021.,"TechCrunch, TTNews, Aurora (official)",https://ir.aurora.tech,2026-09-07,2026-09-07,2026-09-07,verified,self-driving; trucking; public,
082,castelion,Castelion,Low-cost hypersonic and strike missiles built on automotive methods,"Castelion, founded by former SpaceX executives, designs affordable hypersonic strike missiles using automotive-style production. It raised a $1B Series C at a $13B valuation in August 2026 — $800M equity plus $250M credit — quadrupling its valuation from ~$3.4B earlier in the year.",https://www.castelion.com,Robotics,Defense,Series C,$1B,1000000000,$13B (Aug 2026),13000000000,$1B+ (incl. $250M credit facility),2026-08-19,Altimeter Capital; Lightspeed Venture Partners; a16z; Founders Fund,"El Segundo, USA",El Segundo,USA,North America,2022,active,,"TechCrunch, Castelion (official), ValueAdd VC",https://www.castelion.com/news,2026-09-07,2026-09-07,2026-09-07,verified,hypersonic; missiles; defense,
083,figure-ai,Figure AI,Humanoid robots (Figure 02/03) for labor deployment,Figure AI develops general-purpose humanoid robots and has begun commercial deployments targeting logistics and manufacturing labor. Its Series C exceeded $1B in committed capital at a $39B post-money valuation in September 2025 — making it the most valuable US robotics startup — and it is scaling production via its BotQ facility.,https://www.figure.ai,Robotics,Humanoids,Series C,$1B+,1000000000,$39B post-money (Sep 2025),39000000000,$2B+ across 6 rounds,2025-09-16,Parkway Venture Capital; Nvidia; Intel Capital; Aligned Capital; Bezos Expeditions,"San Jose, USA",San Jose,USA,North America,2022,active,,"Figure AI (official), The Robot Report, Reuters",https://www.figure.ai/news,2026-01-30,2026-09-07,2026-09-07,verified,humanoid; helix; labor,
084,generalist-ai,Generalist AI,General intelligence for the physical world (robot foundation models),Generalist AI is a frontier research and product company training robot foundation models for real-world labor. It announced $400M in new funding in June 2026 — taking total raised past half a billion — and quietly raised roughly $200M more within two months per Axios in August 2026.,https://www.generalistai.com,Robotics,Robot Foundation Models,Series Unknown,$400M,400000000,Undisclosed,,$600M+ across 3 rounds,2026-06-04,Undisclosed,"San Francisco, USA",San Francisco,USA,North America,2024,active,,"Generalist (official), Bloomberg, Axios",https://www.generalistai.com/news,2026-09-07,2026-09-07,2026-09-07,partial,robot-models; physical-ai,
085,hadrian,Hadrian,AI-guided precision manufacturing for defense and aerospace,Hadrian automates precision parts manufacturing for defense and aerospace primes using AI-guided CNC factories in California and Arizona. It raised a fresh $1.37B round at a $7.87B valuation in August 2026 — a 5x step-up from January 2026 — with a mile-long investor list per TechCrunch.,https://www.hadrian.io,Robotics,Defense Manufacturing,Series D,$1.37B,1370000000,$7.87B (Aug 2026),7870000000,$2B+ across 6 rounds,2026-08-06,a16z; Lux Capital; Founders Fund; Singh Capital Partners,"Torrance, USA",Torrance,USA,North America,2020,active,,"TechCrunch, CNBC",https://techcrunch.com/2026/08/06/hadrian-raises-1-37b/,2026-09-07,2026-09-07,2026-09-07,verified,manufacturing; defense; automation,
086,helsing,Helsing,Europe's leading defense AI: autonomy software and drones,"Helsing builds AI for defense — autonomy software, EW, and strike drones — for European militaries and Ukraine. It raised a record $1.8B Series E in July 2026 at an $18B valuation, co-led by Dragoneer, the largest defense-tech round in European history; total funding is ~$3.4B.",https://helsing.ai,Robotics,Defense,Series E,$1.8B,1800000000,$18B post-money (Jul 2026),18000000000,~$3.43B across 9 rounds,2026-07-13,Dragoneer Investment Group; General Catalyst; Prima Materia; EQT Ventures,"Munich, Germany",Munich,Germany,Europe,2021,active,,"Helsing (official), CNBC, FT",https://helsing.ai/newsroom,2026-09-07,2026-09-07,2026-09-07,verified,defense-ai; europe; drones,
087,nuro,Nuro,Autonomous driving AI licensing platform,"Nuro pivoted from delivery robots to licensing its Level 4 autonomous driving stack to automakers, with partnerships including Lucid and Uber. It closed a $203M Series E at a $6B valuation in August 2025, with Uber, Baillie Gifford, and Nvidia participating; total funding exceeds $2.3B.",https://www.nuro.ai,Robotics,Autonomous Vehicles,Series E,$203M,203000000,$6B (Aug 2025),6000000000,$2.34B across 7 rounds,2025-08-25,Uber; Baillie Gifford; Nvidia; SoftBank Vision Fund; T. Rowe Price,"Mountain View, USA",Mountain View,USA,North America,2016,active,,"Nuro (official), Built In SF, Tracxn",https://www.nuro.ai/press,2026-09-07,2026-09-07,2026-09-07,verified,autonomous-driving; licensing; l4,
088,physical-intelligence,Physical Intelligence,General-purpose robot foundation models (π0 family),"Physical Intelligence trains generalist foundation models that give robots dexterous manipulation skills across hardware platforms. Its $600M Series B closed in November 2025 at a $5.6B valuation, bringing total funding to ~$1.1B; Bloomberg reported talks in March 2026 for ~$1B more at roughly $11B, not yet confirmed closed.",https://www.physicalintelligence.company,Robotics,Robot Foundation Models,Series B,$600M,600000000,$5.6B (Nov 2025),5600000000,~$1.1B across 3 rounds,2025-11-20,Bezos Expeditions; Thrive Capital; Lux Capital; OpenAI Startup Fund; Sequoia,"San Francisco, USA",San Francisco,USA,North America,2024,active,,"The Robot Report, Bloomberg, TechCrunch",https://www.physicalintelligence.company/blog,2026-09-07,2026-09-07,2026-09-07,verified,pi0; manipulation; foundation-models,Mar 2026: reported talks at ~$11B valuation (Bloomberg); last confirmed round Nov 2025.
089,saronic,Saronic,Autonomous surface vessels and the Port Alpha shipyard,"Saronic builds autonomous surface vessels for naval operations and is developing Port Alpha, a $3.2B autonomous shipyard in Brownsville, Texas. It closed a $1.75B Series D at a $9.25B valuation on March 31, 2026, led by Kleiner Perkins — more than doubling its $4B mark from early 2025.",https://www.saronic.com,Robotics,Defense,Series D,$1.75B,1750000000,$9.25B post-money (Mar 2026),9250000000,$2.58B across 5 rounds,2026-03-31,Kleiner Perkins; a16z; 8VC; Elad Gil,"Austin, USA",Austin,USA,North America,2022,active,,"PR Newswire, CNBC, Reuters",https://www.saronic.com/news,2026-09-07,2026-09-07,2026-09-07,verified,maritime; naval; autonomy,
090,seeing-systems,Seeing Systems,Low-cost modular AI drones for defense missions (YC W26),"Seeing Systems, founded by Matthew and Alexander Le Maitre in London, builds low-cost modular drones that fly complex missions with minimal human input for defense customers. It emerged from Y Combinator's W26 batch and raised an early round of roughly $5M with Pioneer Fund participating.",https://www.seeingsystems.ai,Robotics,Defense Drones,Seed,~$5M,5000000,Undisclosed,,~$5M,2026-02-06,Y Combinator; Pioneer Fund,"London, UK",London,UK,Europe,2025,active,,"Y Combinator, Tectonic Defense, LinkedIn",https://www.ycombinator.com/companies/seeing-systems,2026-05-30,2026-09-07,2026-09-07,partial,drones; defense; yc-w26,
091,shield-ai,Shield AI,Hivemind AI pilot for autonomous jets and drones,"Shield AI develops Hivemind, an AI pilot enabling autonomous operation of jets, drones, and loitering munitions without GPS or comms. It announced a $1.5B Series G at a $12.7B post-money valuation plus $500M in fixed-income financing in March 2026 — a 140% valuation jump in one year.",https://shield.ai,Robotics,Defense,Series G,$1.5B,1500000000,$12.7B post-money (Mar 2026),12700000000,$3.5B+ across 17 rounds,2026-03-26,L3Harris; a16z; Riot Ventures; Washington Harbour,"San Diego, USA",San Diego,USA,North America,2015,active,,"Shield AI (official), TechCrunch, Tracxn",https://shield.ai/news,2026-09-07,2026-09-07,2026-09-07,verified,hivemind; defense; autonomy,
092,skild-ai,Skild AI,General-purpose foundation model for robotics (Skild Brain),"Skild AI builds a general-purpose 'robot brain' — a foundation model that adapts to any robot form factor and task. SoftBank led its $1.4B Series C in January 2026, tripling its valuation to over $14B in seven months; total funding now exceeds $2B across four rounds.",https://www.skild.ai,Robotics,Robot Foundation Models,Series C,$1.4B,1400000000,$14B+ (Jan 2026),14000000000,$2B+ across 4 rounds,2026-01-14,SoftBank Vision Fund; Lightspeed Venture Partners; Bezos Expeditions; Nvidia; Menlo Ventures,"Pittsburgh, USA",Pittsburgh,USA,North America,2023,active,,"Skild AI (official), Bloomberg, Crunchbase News",https://www.skild.ai/blog,2026-05-30,2026-09-07,2026-09-07,verified,robot-brain; foundation-models,
093,starship-technologies,Starship Technologies,Autonomous sidewalk delivery robots at scale,"Starship Technologies operates the world's largest fleet of autonomous sidewalk delivery robots, founded by Skype co-founders Ahti Heinla and Janus Friis. It raised a $50M Series C in October 2025, bringing total funding to ~$316M as it expands across US, UK, and European campuses and cities.",https://www.starship.xyz,Robotics,Delivery Robots,Series C,$50M,50000000,~$500M (est.),500000000,~$316M across 9 rounds,2025-10-15,Dorset Capital; Matrix Partners; MetaPlanet; One Way Ventures,"San Francisco, USA",San Francisco,USA,North America,2014,active,,"Starship (official), StartupIntros, TechCrunch",https://www.starship.xyz/newsroom,2026-02-28,2026-09-07,2026-09-07,partial,delivery; last-mile; sidewalk-robots,
094,7ai,7AI,Agentic AI security operations platform (SOC agents),"7AI deploys swarms of autonomous AI agents for security operations, automating alert enrichment, investigation, and response for enterprises. It launched with a $36M seed (Feb 2025) and closed a $130M Series A in December 2025 — an unusually large early-stage round reported by WSJ — bringing total funding to $166M.",https://7ai.com,Cybersecurity,Security Operations,Series A,$130M,130000000,"~$700M (reported, Dec 2025)",700000000,$166M across 2 rounds,2025-12-04,Greylock Partners; Index Ventures; Redpoint Ventures,"Boston, USA",Boston,USA,North America,2024,active,,"WSJ, 7AI (official), Calcalist, Tracxn",https://blog.7ai.com,2026-02-28,2026-09-07,2026-09-07,verified,soc-agents; agentic-security; tir,"Fast Company Most Innovative Companies 2026, #6 in Security."
095,abnormal-ai,Abnormal AI,AI-native behavioral email & human risk security,"Abnormal AI stops socially engineered email attacks and account takeover by modeling human behavior rather than signatures. Its $250M Series D at a $5.1B valuation (Aug 2024) remains the last priced round; the company, formerly Abnormal Security, continues to expand into human-risk management.",https://abnormal.ai,Cybersecurity,Email Security,Series D,$250M,250000000,$5.1B (Aug 2024),5100000000,~$557M across 5 rounds,2024-08-06,Wellington Management; Insight Partners; Menlo Ventures; Greylock,"San Francisco, USA",San Francisco,USA,North America,2018,active,,"Crunchbase News, Abnormal (official), Tracxn",https://abnormal.ai/news,2026-09-07,2026-09-07,2026-09-07,verified,email-security; behavioral-ai,
096,adaptive-security,Adaptive Security,AI-powered security awareness training & human risk management,"Adaptive Security simulates AI-driven attacks (including deepfake phishing) and delivers personalized security training to reduce human risk. It closed an $81M Series B in December 2025 with NVIDIA, Bain Capital Ventures, Capital One Ventures, and Citi Ventures participating, bringing total funding to $146.5M.",https://www.adaptivesecurity.com,Cybersecurity,Security Training,Series B,$81M,81000000,Undisclosed,,$146.5M across 3 rounds,2025-12-16,NVIDIA; Bain Capital Ventures; Capital One Ventures; Citi Ventures; a16z,"New York, USA",New York,USA,North America,2024,active,,"Adaptive Security (official), PR Newswire",https://www.adaptivesecurity.com/news,2026-02-28,2026-09-07,2026-09-07,verified,security-training; deepfake; human-risk,Original repo entry claimed '~$9B valuation' — unsupported by sources; removed.
097,cyera,Cyera,Data security posture management — the trust layer for enterprise AI,"Cyera provides AI-native data security and governance, discovering and protecting sensitive data across cloud, SaaS, and AI systems. It raised $600M at a $12B valuation in June 2026, a late-stage round that tripled its January 2026 $9B mark; total funding exceeds $1.8B.",https://www.cyera.com,Cybersecurity,Data Security,Series E,$600M,600000000,$12B (Jun 2026),12000000000,$1.8B+ across 6 rounds,2026-06-10,Accel; Sequoia Capital; Spark Capital; Redpoint; Georgian,"New York, USA",New York,USA,North America,2021,active,,"Cyera (official), Reuters",https://www.cyera.com/news,2026-09-07,2026-09-07,2026-09-07,verified,dspm; data-security; ai-governance,
098,doppel,Doppel,AI-native defense against social engineering and brand impersonation,"Doppel detects and takes down phishing, fake domains, and brand impersonation across domains, social media, and marketplaces in real time. It closed a $70M Series C in December 2025 with American Express Ventures joining, led by Google Ventures (GV), following a $35M Series B in June 2025.",https://www.doppel.ai,Cybersecurity,Brand Protection,Series C,$70M,70000000,"~$500M (reported, Dec 2025)",500000000,$130M+ across 4 rounds,2025-12-12,GV; Amex Ventures; Bessemer Venture Partners; Dawn Capital,"San Francisco, USA",San Francisco,USA,North America,2022,active,,"LinkedIn (company), The Cube, SecurityWeek",https://www.doppel.ai/blog,2026-02-28,2026-09-07,2026-09-07,partial,anti-phishing; brand-impersonation; takedowns,Series C announced Dec 2025; valuation figure unconfirmed.
099,wiz,Wiz,Cloud & AI security platform; acquired by Google for $32B,"Wiz built the fastest-scaling security platform in history — agentless cloud and AI security across AWS, Azure, and GCP — reaching $700M ARR. Google completed its $32B acquisition on March 11, 2026, its largest deal ever, roughly one year after announcing intent. Wiz operates within Google Cloud as a standalone product.",https://www.wiz.io,Cybersecurity,Cloud Security,Series E,$1B,1000000000,"$32B (Google acquisition, completed Mar 2026)",32000000000,~$1.9B across 5 rounds,2024-05-07,a16z; Lightspeed Venture Partners; Thrive Capital; Insight Partners; Greenoaks,"New York, USA",New York,USA,North America,2020,acquired,"Google completed $32B acquisition on March 11, 2026.","Google Cloud Press, CRN, PR Newswire",https://cloud.google.com/press-corner,2026-01-30,2026-09-07,2026-09-07,verified,cnapp; cloud-security; google,
100,coconote,Coconote,"AI study notes, flashcards & quizzes from any lecture or document","Coconote turns lectures, PDFs, and videos into structured notes, flashcards, and quizzes, popular among university students. It is Y Combinator-backed; Tracxn reports no institutional funding round as of August 2026, so funding remains undisclosed/pre-seed.",https://www.coconote.app,EdTech,Study Tools,Seed,N/A,,Undisclosed,,Undisclosed (YC-backed),,Y Combinator,"San Francisco, USA",San Francisco,USA,North America,2024,active,,"Tracxn, Y Combinator",https://www.ycombinator.com/companies/coconote,2026-05-30,2026-09-07,2026-09-07,partial,study-tools; flashcards; consumer,Original repo listed it as 'by Quizlet' — incorrect; removed.
101,duolingo,Duolingo,AI-first language and learning platform; NASDAQ-listed,"Duolingo is the world's most popular learning app, with 500M+ registered users and AI-generated lessons via its Birdbrain system. Publicly traded on NASDAQ (DUOL) since July 2021 — included as a public-company reference for AI-native consumer education tracking.",https://www.duolingo.com,EdTech,Language Learning,IPO,N/A (public since Jul 2021),,Public market cap (NASDAQ: DUOL),,~$183M raised pre-IPO across 8 rounds,,CapitalG; Union Square Ventures; Kleiner Perkins; Ashton Kutcher,"Pittsburgh, USA",Pittsburgh,USA,North America,2011,public,Publicly traded on NASDAQ (DUOL) since July 2021.,"Tracxn, EdSurge, TechCrunch",https://investors.duolingo.com,2026-01-30,2026-09-07,2026-09-07,verified,language-learning; consumer; public,
102,magicschool,MagicSchool AI,AI assistant platform for teachers and schools,"MagicSchool provides AI tools for lesson planning, assessment, and differentiated instruction used by millions of educators. It raised a $45M Series B in February 2025 led by Valor Equity Partners with Adobe participating; total funding is ~$65M.",https://www.magicschool.ai,EdTech,Teacher AI,Series B,$45M,45000000,~$430M (est.),430000000,~$65M across 3 rounds,2025-02-11,Valor Equity Partners; Adobe Ventures; Rangeley Capital,"Denver, USA",Denver,USA,North America,2023,active,,"MagicSchool (official), Forge, Tracxn",https://www.magicschool.ai/about,2026-09-07,2026-09-07,2026-09-07,partial,teachers; k12; lesson-planning,
103,sana-labs,Sana,AI corporate learning & knowledge platform; acquired by Workday,"Sana built an AI-powered corporate learning and knowledge platform with adaptive courses and an AI tutor, raising ~$138M including a $55M round led by NEA. Workday signed a definitive agreement to acquire the company for approximately $1.1B in September 2025 — its largest deal ever — and completed the acquisition shortly after.",https://sanalabs.com,EdTech,Corporate Learning,Series C,$55M,55000000,$1.1B (Workday acquisition),1100000000,~$138M across 5 rounds,2024-10-31,NEA; Workday Ventures; Atomica; Heartcore Capital,"Stockholm, Sweden",Stockholm,Sweden,Europe,2016,acquired,"Workday completed ~$1.1B acquisition (announced Sep 16, 2025).","Workday Newsroom, Orrick, Reddit reporting",https://newsroom.workday.com,2026-03-30,2026-09-07,2026-09-07,verified,corporate-learning; ai-tutor; workday,
